dataset,regime,model,baseline,alpha,gamma,worst_group_tail,worst_group_tail_std,baseline_worst_group_tail,margin,margin_pct
adult,feasible,fedcvar,fedavg,0.1,0.2,0.3548,0.00158409,0.380568,0.025768,6.77093
adult,feasible,fedcvar,fedavg,0.1,0.1,0.354941,0.0014912,0.380568,0.0256268,6.73383
adult,feasible,fedcvar,fedavg,0.1,0.7,0.355772,0.00141727,0.380568,0.0247964,6.51563
adult,feasible,fedcvar,fedavg,0.2,0.2,0.356133,0.00191428,0.380568,0.024435,6.42066
adult,feasible,fedcvar,fedavg,0.2,0.1,0.35615,0.00183232,0.380568,0.0244184,6.4163
adult,feasible,fedcvar,fedavg,0.2,0.3,0.356333,0.00176613,0.380568,0.0242356,6.36827
adult,feasible,fedcvar,fedavg,0.2,0.4,0.356896,0.00169525,0.380568,0.0236718,6.22012
adult,feasible,fedcvar,fedavg,0.2,0.5,0.35788,0.0016922,0.380568,0.0226878,5.96156
adult,feasible,fedcvar,fedavg,0.1,0.8,0.358452,0.00152053,0.380568,0.0221166,5.81147
adult,feasible,fedcvar,fedavg,0.2,0.6,0.359369,0.00159544,0.380568,0.021199,5.57036
adult,feasible,fedcvar,fedavg,0.3,0.1,0.359867,0.00235009,0.380568,0.0207012,5.43955
adult,feasible,fedcvar,fedavg,0.3,0.2,0.360568,0.00234236,0.380568,0.0200004,5.2554
adult,feasible,fedcvar,fedavg,0.3,0.3,0.361551,0.00231789,0.380568,0.0190172,4.99705
adult,feasible,fedcvar,fedavg,0.2,0.7,0.361802,0.00165364,0.380568,0.0187658,4.931
adult,feasible,fedcvar,fedavg,0.5,0.1,0.361811,0.00272057,0.380568,0.0187572,4.92874
adult,feasible,fedcvar,fedavg,0.5,0.2,0.362726,0.00263233,0.380568,0.0178418,4.6882
adult,feasible,fedcvar,fedavg,0.4,0.1,0.362737,0.00294942,0.380568,0.0178308,4.68531
adult,feasible,fedcvar,fedavg,0.3,0.4,0.362809,0.00233536,0.380568,0.017759,4.66644
adult,feasible,fedcvar,fedavg,0.4,0.2,0.363583,0.00285562,0.380568,0.0169856,4.46322
adult,feasible,fedcvar,fedavg,0.6,0.1,0.363835,0.00223476,0.380568,0.016733,4.39685
adult,feasible,fedcvar,fedavg,0.5,0.3,0.363909,0.00254861,0.380568,0.0166596,4.37756
adult,feasible,fedcvar,fedavg,0.3,0.5,0.36425,0.0023099,0.380568,0.0163178,4.28775
adult,feasible,fedcvar,fedavg,0.4,0.3,0.364446,0.00279233,0.380568,0.0161224,4.2364
adult,feasible,fedcvar,fedavg,0.6,0.2,0.365064,0.00221611,0.380568,0.0155044,4.07401
adult,feasible,fedcvar,fedavg,0.5,0.4,0.36532,0.00252627,0.380568,0.0152482,4.00669
adult,feasible,fedcvar,fedavg,0.4,0.4,0.365525,0.00270863,0.380568,0.0150434,3.95288
adult,feasible,fedcvar,fedavg,0.1,0.9,0.365581,0.00165712,0.380568,0.0149872,3.93811
adult,feasible,fedcvar,fedavg,0.2,0.8,0.365646,0.00174639,0.380568,0.0149218,3.92093
adult,feasible,fedcvar,fedavg,0.3,0.6,0.36611,0.00233767,0.380568,0.0144586,3.79921
adult,feasible,fedcvar,fedavg,0.6,0.3,0.366535,0.00223743,0.380568,0.0140334,3.68749
adult,feasible,fedcvar,fedavg,0.4,0.5,0.366775,0.00265128,0.380568,0.013793,3.62432
adult,feasible,fedcvar,fedavg,0.5,0.5,0.366975,0.00244949,0.380568,0.0135928,3.57171
adult,feasible,fedcvar,fedavg,0.6,0.4,0.368161,0.00224943,0.380568,0.012407,3.26013
adult,feasible,fedcvar,fedavg,0.3,0.7,0.368177,0.00235435,0.380568,0.0123916,3.25608
adult,feasible,fedcvar,fedavg,0.7,0.1,0.368184,0.00199652,0.380568,0.0123846,3.25424
adult,feasible,fedcvar,fedavg,0.4,0.6,0.368236,0.00250454,0.380568,0.0123326,3.24058
adult,feasible,fedcvar,fedavg,0.5,0.6,0.368941,0.00237757,0.380568,0.0116276,3.05533
adult,feasible,fedcvar,fedavg,0.7,0.2,0.369283,0.00201381,0.380568,0.0112854,2.96541
adult,feasible,fedcvar,fedavg,0.6,0.5,0.369905,0.00224618,0.380568,0.0106636,2.80202
adult,feasible,fedcvar,fedavg,0.4,0.7,0.370062,0.00237714,0.380568,0.010506,2.76061
adult,feasible,fedcvar,fedavg,0.7,0.3,0.370545,0.00203862,0.380568,0.0100236,2.63385
adult,feasible,fedcvar,fedavg,0.3,0.8,0.37082,0.002225,0.380568,0.0097484,2.56154
adult,feasible,fedcvar,fedavg,0.5,0.7,0.37128,0.00229135,0.380568,0.0092884,2.44067
adult,feasible,fedcvar,fedavg,0.2,0.9,0.371555,0.00196441,0.380568,0.0090132,2.36835
adult,feasible,fedcvar,fedavg,0.6,0.6,0.371768,0.00225303,0.380568,0.0087998,2.31228
adult,feasible,fedcvar,fedavg,0.7,0.4,0.371899,0.0020804,0.380568,0.0086696,2.27807
adult,feasible,fedcvar,fedavg,0.4,0.8,0.372451,0.00229307,0.380568,0.0081172,2.13292
adult,feasible,fedcvar,fedavg,0.8,0.1,0.37308,0.00181909,0.380568,0.0074882,1.96764
adult,feasible,fedcvar,fedavg,0.7,0.5,0.373287,0.00210198,0.380568,0.0072816,1.91335
adult,feasible,fedcvar,fedavg,0.6,0.7,0.373757,0.00223551,0.380568,0.0068114,1.7898
adult,feasible,fedcvar,fedavg,0.5,0.8,0.373959,0.00225132,0.380568,0.006609,1.73661
adult,feasible,fedcvar,fedavg,0.8,0.2,0.373959,0.00183026,0.380568,0.006609,1.73661
adult,feasible,fedcvar,fedavg,0.3,0.9,0.374595,0.00217916,0.380568,0.0059728,1.56944
adult,feasible,fedcvar,fedavg,0.7,0.6,0.374698,0.00212532,0.380568,0.0058706,1.54259
adult,feasible,fedcvar,fedavg,0.8,0.3,0.37483,0.0018776,0.380568,0.0057386,1.5079
adult,feasible,fedcvar,fedavg,0.8,0.4,0.375702,0.00191786,0.380568,0.004866,1.27861
adult,feasible,fedcvar,fedavg,0.4,0.9,0.375741,0.00224629,0.380568,0.004827,1.26837
adult,feasible,fedcvar,fedavg,0.6,0.8,0.375878,0.00221952,0.380568,0.0046904,1.23247
adult,feasible,fedcvar,fedavg,0.7,0.7,0.376124,0.00214465,0.380568,0.004444,1.16773
adult,feasible,fedcvar,fedavg,0.8,0.5,0.376564,0.00197289,0.380568,0.0040046,1.05227
adult,feasible,fedcvar,fedavg,0.5,0.9,0.377074,0.00221586,0.380568,0.0034942,0.918153
adult,feasible,fedcvar,fedavg,0.9,0.1,0.377398,0.00202785,0.380568,0.0031698,0.832912
adult,feasible,fedcvar,fedavg,0.8,0.6,0.377405,0.0020194,0.380568,0.0031632,0.831178
adult,feasible,fedcvar,fedavg,0.7,0.8,0.377571,0.00215854,0.380568,0.0029968,0.787454
adult,feasible,fedcvar,fedavg,0.9,0.2,0.377767,0.00204899,0.380568,0.0028012,0.736057
adult,feasible,fedcvar,fedavg,0.6,0.9,0.378122,0.00220478,0.380568,0.0024458,0.642671
adult,feasible,fedcvar,fedavg,0.9,0.3,0.378134,0.00206825,0.380568,0.002434,0.63957
adult,feasible,fedcvar,fedavg,0.8,0.7,0.378234,0.00205392,0.380568,0.0023344,0.613399
adult,feasible,fedcvar,fedavg,0.9,0.4,0.3785,0.00208681,0.380568,0.0020684,0.543503
adult,feasible,fedcvar,fedavg,0.9,0.5,0.378859,0.00210375,0.380568,0.0017096,0.449223
adult,feasible,fedcvar,fedavg,0.8,0.8,0.379032,0.00209642,0.380568,0.001536,0.403607
adult,feasible,fedcvar,fedavg,0.7,0.9,0.379045,0.00217234,0.380568,0.0015236,0.400349
adult,feasible,fedcvar,fedavg,0.9,0.6,0.379214,0.00212289,0.380568,0.0013538,0.355731
adult,feasible,fedcvar,fedavg,0.9,0.7,0.379566,0.00213967,0.380568,0.0010024,0.263396
adult,feasible,fedcvar,fedavg,0.8,0.9,0.379814,0.00213888,0.380568,0.0007544,0.19823
adult,feasible,fedcvar,fedavg,0.9,0.8,0.379911,0.00215606,0.380568,0.0006572,0.172689
adult,feasible,fedcvar,fedavg,0.9,0.9,0.380248,0.00216899,0.380568,0.0003206,0.0842425
adult,infeasible,fedavot_cvar,fedavot,0.2,0.8,0.357274,0.00245678,0.361572,0.0042978,1.18864
adult,infeasible,fedavot_cvar,fedavot,0.2,0.7,0.357991,0.00225033,0.361572,0.0035812,0.990453
