cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,fedavot,5,0.122892,0.0010482610361927974,0.20748,5.128352561983135e-05
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,fedavg,5,0.1302152,0.0011813054473759055,0.207673,3.316021712835915e-05
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,fedavg_mk,5,999997000000.0,0.0,1000000000000.0,0.0
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,tier1,fedavot,5,86.85276,1.1580174413194289,95.62948,0.4416084754621459
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,tier1,fedavg,5,89.77665999999999,1.1729958305126251,94.75928,0.6524560043405228
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,tier1,full,5,72.4865,0.0,83.0686,0.0
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,fedavot,5,76.99482,0.7328334282768503,86.06122,0.21076378626319708
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,fedavg,5,86.41756,1.0031902942114217,91.62952,0.5648239137996874
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,fedavg_mk,5,8662.0974,17044.524837618108,8503.5216,16710.360802688487
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,full,5,72.2286,0.0,82.9485,0.0
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,tier1,fedavot,5,99.6655,1.309258771977486,102.4842,0.6642241790239165
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,tier1,fedavg,5,96.0565,0.4226428231970823,99.37964,0.40210037851262986
imdb_beta0.50_const,imdbwiki,infeasible,0.5,const,0.5883697676698363,tier1,full,5,72.4865,0.0,83.0686,0.0
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,tier1,fedavot,5,90.31978,0.9668322117099754,93.23362,0.6220175766005337
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,tier1,fedavg,5,93.15254,0.3528545003255578,96.6894,0.27988166070680637
imdb_beta0.50_decay1000,imdbwiki,infeasible,0.5,decay1000,0.5883697676698363,tier1,full,5,72.2286,0.0,82.9485,0.0
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,tier1,fedavot,5,104.5994,1.1361944551880212,105.9808,0.809378872963709
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,tier1,fedavg,5,99.46588,0.43291293073781256,102.5846,0.6029336945303367
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,tier1,full,5,72.4865,0.0,83.0686,0.0
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,tier1,fedavot,5,96.50984,0.9811343977254081,97.88268000000001,0.6999385898777116
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,tier1,fedavg,5,96.65068,0.3778270683791741,99.93326,0.47325826184019415
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,tier1,full,5,72.2286,0.0,82.9485,0.0
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,tier1,fedavot,5,108.774,1.3516666748869701,109.5874,1.163963160929075
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,tier1,fedavg,5,101.0606,0.6564603872283538,104.3274,0.33936741151737143
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,tier1,full,5,72.4865,0.0,83.0686,0.0
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,tier1,fedavot,5,100.32838,1.2821372694060502,101.23828,1.130961039824094
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,tier1,fedavg,5,98.38965999999999,0.5968561957456772,101.8136,0.3452023174893202
